country,year,maize
Argentina,1996,0
Argentina,1997,0
Argentina,1998,0.5
Argentina,1999,6
Argentina,2000,20
Argentina,2001,32
Argentina,2002,40
Argentina,2003,45
Argentina,2004,55
Argentina,2005,65
Argentina,2006,80
Argentina,2007,95
Argentina,2008,85
Argentina,2009,98
Argentina,2010,86
Argentina,2011,90
Argentina,2012,94
Argentina,2013,80
Argentina,2014,80
Argentina,2015,83
Argentina,2016,96
Argentina,2017,97
Argentina,2018,98
Brazil,2008,11
Brazil,2009,38
Brazil,2010,55
Brazil,2011,65
Brazil,2012,76
Brazil,2013,82
Brazil,2014,79
Brazil,2015,85
Brazil,2016,88
Brazil,2017,88.900002
Brazil,2018,86
Canada,1996,0
Canada,1997,15
Canada,1998,28
Canada,1999,35
Canada,2000,28
Canada,2001,30
Canada,2002,32
Canada,2003,50
Canada,2004,56
Canada,2005,60
Canada,2006,67
Canada,2007,73
Canada,2008,99
Canada,2009,90
Canada,2010,94
Canada,2011,90
Canada,2012,94
Canada,2013,96
Canada,2014,81
Canada,2015,87
Canada,2016,92
Canada,2017,100
Canada,2018,99
Colombia,2006,0
Colombia,2007,1
Colombia,2008,2
Colombia,2009,5
Colombia,2010,8
Colombia,2011,11
Colombia,2012,14
Colombia,2013,15
Colombia,2014,19
Colombia,2015,15
Colombia,2016,19
Colombia,2017,23
Colombia,2018,35
Honduras,2005,0.60000002
Honduras,2007,2
Honduras,2008,3
Honduras,2009,4
Honduras,2010,4
Honduras,2011,5
Honduras,2012,8
Honduras,2013,7
Honduras,2014,8
Honduras,2015,8
Honduras,2016,9
Honduras,2018,9
Paraguay,2013,50
Paraguay,2014,50
Paraguay,2015,42
Paraguay,2016,44
Paraguay,2017,42.200001
Paraguay,2018,51
Philippines,2006,2
Philippines,2007,7.5
Philippines,2008,13.5
Philippines,2009,19
Philippines,2010,22
Philippines,2011,25
Philippines,2012,28
Philippines,2013,31
Philippines,2014,26
Philippines,2015,27
Philippines,2016,24
Philippines,2018,25
Romania,2006,0
Romania,2007,0
Romania,2008,0.30000001
Romania,2009,0.1
Romania,2010,0.025
Romania,2011,0.02
Romania,2012,0.0099999998
Romania,2013,0.0099999998
Romania,2014,0.02
Romania,2015,0
Romania,2016,0
Romania,2017,0
Romania,2018,0
South Africa,2005,17
South Africa,2006,43
South Africa,2007,58
South Africa,2008,69
South Africa,2009,83
South Africa,2010,69
South Africa,2011,68
South Africa,2012,90
South Africa,2013,87
South Africa,2014,87
South Africa,2015,90
South Africa,2016,91
South Africa,2017,85
South Africa,2018,87
United States of America,1995,0
United States of America,1996,1
United States of America,1997,9
United States of America,1998,22
United States of America,1999,33
United States of America,2000,25
United States of America,2001,26
United States of America,2002,34
United States of America,2003,40
United States of America,2004,47
United States of America,2005,52
United States of America,2006,61
United States of America,2007,73
United States of America,2008,80
United States of America,2009,85
United States of America,2010,86
United States of America,2011,88
United States of America,2012,88
United States of America,2013,90
United States of America,2014,93
United States of America,2015,93
United States of America,2016,92
United States of America,2017,93.400002
United States of America,2018,92
Uruguay,2003,0.025599359
Uruguay,2004,0.38448212
Uruguay,2005,0.56179774
Uruguay,2006,54
Uruguay,2007,62
Uruguay,2008,62
Uruguay,2009,82
Uruguay,2010,95
Uruguay,2011,92
Uruguay,2012,92
Uruguay,2013,96
Uruguay,2014,96
Uruguay,2015,88
Uruguay,2016,86
Uruguay,2017,100
Uruguay,2018,100
Viet Nam,2016,3
Viet Nam,2017,4
Viet Nam,2018,5
