country,year,soybean
Argentina,1996,6
Argentina,1997,25
Argentina,1998,60
Argentina,1999,80
Argentina,2000,95
Argentina,2001,98
Argentina,2002,98
Argentina,2003,98
Argentina,2004,98
Argentina,2005,98.5
Argentina,2006,98
Argentina,2007,99
Argentina,2008,99
Argentina,2009,99
Argentina,2010,99
Argentina,2011,99
Argentina,2012,99
Argentina,2013,99
Argentina,2014,99
Argentina,2015,99
Argentina,2016,99
Argentina,2017,100
Argentina,2018,99.800003
Bolivia,2005,21
Bolivia,2006,65
Bolivia,2007,78
Bolivia,2008,80
Bolivia,2009,90
Bolivia,2010,92
Bolivia,2011,92
Bolivia,2012,91
Bolivia,2013,91
Bolivia,2014,83
Bolivia,2015,80
Bolivia,2016,91
Bolivia,2017,100
Bolivia,2018,91
Brazil,2003,18
Brazil,2004,22
Brazil,2005,44
Brazil,2006,55
Brazil,2007,63
Brazil,2008,62
Brazil,2009,69
Brazil,2010,76
Brazil,2011,82
Brazil,2012,89
Brazil,2013,89
Brazil,2014,83
Brazil,2015,94
Brazil,2016,96
Brazil,2017,97
Brazil,2018,96
Canada,1997,0
Canada,1998,3
Canada,1999,24
Canada,2000,18
Canada,2001,25
Canada,2002,32
Canada,2003,48
Canada,2004,50
Canada,2005,60
Canada,2006,63
Canada,2007,58
Canada,2008,73
Canada,2009,68
Canada,2010,70
Canada,2011,72
Canada,2012,78
Canada,2013,79
Canada,2014,60
Canada,2015,85
Canada,2016,87
Canada,2017,85
Canada,2018,83
Mexico,2010,24
Mexico,2011,17
Mexico,2012,5
Mexico,2013,7
Mexico,2014,9
Mexico,2015,7
Mexico,2016,1
Paraguay,2004,60
Paraguay,2005,85
Paraguay,2006,90
Paraguay,2007,93
Paraguay,2008,90
Paraguay,2009,90
Paraguay,2010,96
Paraguay,2011,97
Paraguay,2012,95
Paraguay,2013,93
Paraguay,2014,95
Paraguay,2015,94
Paraguay,2016,96
Paraguay,2017,96
Paraguay,2018,98
Romania,2000,0
Romania,2001,15
Romania,2005,67
Romania,2006,67
Romania,2007,0
Romania,2008,0
Romania,2009,0
Romania,2010,0
Romania,2011,0
Romania,2012,0
Romania,2013,0
Romania,2014,0
Romania,2015,0
Romania,2016,0
Romania,2017,0
Romania,2018,0
South Africa,2004,65
South Africa,2005,65
South Africa,2006,70
South Africa,2007,87
South Africa,2008,80
South Africa,2009,85
South Africa,2010,85
South Africa,2011,85
South Africa,2012,90
South Africa,2013,92
South Africa,2014,90
South Africa,2015,95
South Africa,2016,95
South Africa,2017,95
South Africa,2018,95
United States of America,1995,0
United States of America,1996,1
United States of America,1997,13
United States of America,1998,36
United States of America,1999,50
United States of America,2000,54
United States of America,2001,68
United States of America,2002,75
United States of America,2003,81
United States of America,2004,85
United States of America,2005,87
United States of America,2006,89
United States of America,2007,91
United States of America,2008,92
United States of America,2009,91
United States of America,2010,93
United States of America,2011,94
United States of America,2012,93
United States of America,2013,93
United States of America,2014,94
United States of America,2015,94
United States of America,2016,94
United States of America,2017,94
United States of America,2018,94
Uruguay,2005,100
Uruguay,2006,100
Uruguay,2007,99
Uruguay,2008,99
Uruguay,2009,99
Uruguay,2010,94
Uruguay,2011,99
Uruguay,2012,99
Uruguay,2013,99
Uruguay,2014,99
Uruguay,2015,100
Uruguay,2016,98
Uruguay,2017,97.599998
Uruguay,2018,98
